line,question,question_type
337,Tell me the types of decision trees?What are the libraries  used for decision tree?,decision tree
338,What are the libraries used for decision tree in machine learning?,decision tree
339,libraries used  for decision tree?,decision tree
340,libraries used for decision tree?,decision tree
341,Do you know about libraries used for decision tree?,decision tree
342,Which are libraries used for decision tree?,decision tree
343,Tell me libraries used for decision tree?,decision tree
344,Tell me libraries used for decision tree?,decision tree
345,What do you know libraries used for decision tree?,decision tree
346,What are libraries used for decision tree?,decision tree
347,What is branch node in decision tree?,decision tree
348,Tell me about branch node?,decision tree
349,What do you know about branch node?,decision tree
350,Do you know about branch node?,decision tree
351,How branch node works ?,decision tree
352,Let me know about branch node?,decision tree
353,What do you say about branch node?,decision tree
354,What does branch node mean?,decision tree
355,Explain branch node?,decision tree
356,Define branch node?,decision tree
357,Can you explain about branch node?,decision tree
358,about branch node in decision tree?,decision tree
359,What is labels in decision tree?,decision tree
360,Tell me about labels?,decision tree
361,What do you know about labels?,decision tree
362,Do you know about labels?,decision tree
363,Let me know about labels?,decision tree
364,What do you say about labels?,decision tree
365,What does labels mean?,decision tree
366,Explain labels?,decision tree
367,Define labels?,decision tree
368,Can you explain about labels?,decision tree
369,about labels in decision tree?,decision tree
370,What is classification tree?,decision tree
371,Tell me about classification tree?,decision tree
372,What do you know about classification tree?,decision tree
373,Do you know about classification tree?,decision tree
374,What is the process of classification tree?,decision tree
375,How classification tree works ?,decision tree
376,Tell me classification tree?,decision tree
377,About classification tree?,decision tree
378,Let me know about classification tree?,decision tree
379,What is classification tree?,decision tree
380,What do you say about classification tree?,decision tree
381,What does classification tree mean?,decision tree
382,Explain classification tree?,decision tree
383,Define classification tree?,decision tree
384,Can you explain about classification tree?,decision tree
385,Can you say something about classification tree?What are the types of packages to build a decisipac_builon tree?,decision tree
386,Types of packages to build a decision tree?,decision tree
387,How many types of packages to build a decision tree?,decision tree
388,Do you konw the types of packages to build a decision tree?,decision tree
389,Do you konw about the types of packages to build a decision tree?,decision tree
390,What are packages to build a decision tree?,decision tree
391,packages to build a decision tree?,decision tree
392,Tell me the types of packages to build a decision tree?,decision tree
